kof97.zip|KOF 97|拳皇97
cworld2jb.zip|AdventureQuizCapcomWorld2(Japan920611-B-Board9|冒险问答卡普空世界2(日版920611-B-Board91634B-2)
cybattlr.zip|Cybattler|骑士战机
cyberlip.zip|Cyber-Lip(NGM-010)|战斗边缘(NGM-010)
cybertnk.zip|CyberTank(v1.4)|电子坦克(v1.4)
cybots.zip|Cyberbots-fullmetalmadness(950424Euro)|机甲勇士-全金属狂潮(950424欧版)
cybotsj.zip|Cyberbots-fullmetalmadness(950420Japan)|机甲勇士-全金属狂潮(950420日版)
cybotsjd.zip|Cyberbots-fullmetalmadness(Japan950424)(decrypte|机甲勇士-全金属狂潮(日版950424)(解密A版)
cybotsu.zip|Cyberbots-fullmetalmadness(950424USA)|机甲勇士-全金属狂潮(950424美版)
cybotsud.zip|Cyberbots-fullmetalmadness(950424USAPhoenixEdit|机甲勇士-全金属狂潮(950424美版凤凰版)
dacholer.zip|Dacholer|鸵鸟
daimakai.zip|DaiMakai-Mura(Japan)|大魔界村(日版)
daimakaib.zip|DaiMakai-Mura(bootleg-Japan)|大魔界村(A版-日版)
daimakair.zip|DaiMakai-Mura(JapanResaleVer.)|大魔界村(日版重发售版)
daioh.zip|Daioh|大王
daioha.zip|Daioh(earlier)|大王(早期版)
daiohc.zip|Daioh(93111APCBconversion)|大王(93111A机板转换版)
daiohp.zip|Daioh(prototype)|大王(工程版)
dairesya.zip|DaiRessyaGoutou(Japan)|大列车强盗(日版)
daisenpu.zip|Daisenpu(Japan)|大旋风(日版)
dambustr.zip|Dambusters(US-set1)|轰炸鲁尔水坝(美版-第1套)
dambustra.zip|Dambusters(US-set2)|轰炸鲁尔水坝(美版-第2套)
dambustruk.zip|Dambusters(UK)|轰炸鲁尔水坝(英国版)
dangar.zip|UfoRoboDangar(4/07/1987)|飞碟机器人丹格(4/07/1987)
dangara.zip|UfoRoboDangar(12/1/1986)|飞碟机器人丹格(12/1/1986)
dangarbt.zip|UfoRoboDangar(bootleg)|飞碟机器人丹格(A版)
dangseed.zip|DangerousSeed(Japan)|危险的种子(日版)
darkadv.zip|DarkAdventure|暗黑冒险
darkmist.zip|TheLostCastleInDarkmist|失落在黑雾中的城堡
darkplnt.zip|DarkPlanet|黑暗星球
darkseal.zip|DarkSeal(Worldrevision3)|暗黑封印-毁灭之门(世界版修正版3)
darkseal1.zip|DarkSeal(Worldrevision1)|暗黑封印-毁灭之门(世界版修正版1)
darkseal2.zip|DarkSeal2(Japanv2.1)|暗黑封印2-巫师之火(日版v2.1)
darksealj.zip|DarkSeal(Japan)|暗黑封印-毁灭之门(日版)
darktowr.zip|DarkTower|黑暗之塔
darwin.zip|Darwin4078(Japan)|达文战机4078(日版)
dbldynj.zip|TheDoubleDynamites(Japan-13NOV89)|爆破公爵(日版-13NOV89)
dbldynu.zip|TheDoubleDynamites(US-13NOV89)|爆破公爵(美版-13NOV89)
dblewing.zip|DoubleWings|双翼
dblpoint.zip|DoublePoint|夜上海
dblpointd.zip|DoublePoint(DongBangElectron-bootleg?)|夜上海(东京电子-A版?)
dbreed.zip|DragonBreed(M81PCBversion)|龙族少年(M81机板版)
dbreedm72.zip|DragonBreed(M72PCBversion)|龙族少年(M72机板版)
dbz2.zip|DragonballZ2-SuperBattle|龙珠Z2-超武斗大会
dbza.zip|DragonballZ(revA)|龙珠Z(修正版A)
dcon.zip|D-Con|地球防卫军
ddcrew1.zip|D.D.Crew(set1-World-4Players-FD1094317-?)|除暴部队(第1套-世界版-4人版-FD1094317-?)
ddcrew1d.zip|D.D.Crew(set1-World-4Players-FD1094317-?decr|除暴部队(第1套-世界版-4人版-FD1094317-?解密版)
ddcrew2d.zip|D.D.Crew(set2-World-2Players-FD1094317-0184d|除暴部队(第2套-世界版-2人版-FD1094317-0184解密版)
ddcrewd.zip|D.D.Crew(set4-World-3Players-FD1094317-0190d|除暴部队(第4套-世界版-3人版-FD1094317-0190解密版)
ddcrewj.zip|D.D.Crew(set5-Japan-4Players-FD1094317-0185)|除暴部队(第5套-日版-4人版-FD1094317-0185)
ddcrewj2.zip|D.D.Crew(set6-Japan-2Players-FD1094317-0182)|除暴部队(第6套-日版-2人版-FD1094317-0182)
ddcrewj2d.zip|D.D.Crew(set6-Japan-2Players-FD1094317-0182d|除暴部队(第6套-日版-2人版-FD1094317-0182解密版)
ddcrewjd.zip|D.D.Crew(set5-Japan-4Players-FD1094317-0185d|除暴部队(第5套-日版-4人版-FD1094317-0185解密版)
ddcrewu.zip|D.D.Crew(set3-US-4Players-FD1094317-0186)|除暴部队(第3套-美版-4人版-FD1094317-0186)
ddcrewud.zip|D.D.Crew(set3-US-4Players-FD1094317-0186decr|除暴部队(第3套-美版-4人版-FD1094317-0186解密版)
ddonpach.zip|DoDonPachi(International-masterver.97/02/05)|怒首领蜂(国际版-主版本97/02/05)
ddonpacha.zip|DoDonPachi(ArrangeModeversion1.1-hackbyTrap15)|怒首领蜂(调整版1.1-Trap15修改)
ddonpachj.zip|DoDonPachi(Japan-masterver.97/02/05)|怒首领蜂(日版-主版本97/02/05)
ddp2.zip|BeeStorm-DoDonPachiII(V102-World)|蜂暴-怒首领蜂II(V102-世界版)
ddp2100.zip|BeeStorm-DoDonPachiII(V100-World)|蜂暴-怒首领蜂II(V100-世界版)
ddp2100c.zip|BeeStorm-DoDonPachiII(V100-China)|蜂暴-怒首领蜂II(V100-中国版)
ddp2100hk.zip|BeeStorm-DoDonPachiII(V100-HongKong)|蜂暴-怒首领蜂II(V100-香港版)
ddp2100j.zip|BeeStorm-DoDonPachiII(V100-Japan)|蜂暴-怒首领蜂II(V100-日版)
ddp2100k.zip|BeeStorm-DoDonPachiII(V100-Korea)|蜂暴-怒首领蜂II(V100-韩版)
ddp2100t.zip|BeeStorm-DoDonPachiII(V100-Taiwan)|蜂暴-怒首领蜂II(V100-台湾版)
ddp2101.zip|BeeStorm-DoDonPachiII(V101-World)|蜂暴-怒首领蜂II(V101-世界版)
ddp2101c.zip|BeeStorm-DoDonPachiII(V101-China)|蜂暴-怒首领蜂II(V101-中国版)
ddp2101hk.zip|BeeStorm-DoDonPachiII(V101-HongKong)|蜂暴-怒首领蜂II(V101-香港版)
ddp2101j.zip|BeeStorm-DoDonPachiII(V101-Japan)|蜂暴-怒首领蜂II(V101-日版)
ddp2101k.zip|BeeStorm-DoDonPachiII(V101-Korea)|蜂暴-怒首领蜂II(V101-韩版)
ddp2101t.zip|BeeStorm-DoDonPachiII(V101-Taiwan)|蜂暴-怒首领蜂II(V101-台湾版)
ddp2c.zip|BeeStorm-DoDonPachiII(V102-China)|蜂暴-怒首领蜂II(V102-中国版)
ddp2hk.zip|BeeStorm-DoDonPachiII(V102-HongKong)|蜂暴-怒首领蜂II(V102-香港版)
ddp2j.zip|BeeStorm-DoDonPachiII(V102-Japan)|蜂暴-怒首领蜂II(V102-日版)
ddp2k.zip|BeeStorm-DoDonPachiII(V102-Korea)|蜂暴-怒首领蜂II(V102-韩版)
ddp2t.zip|BeeStorm-DoDonPachiII(V102-Taiwan)|蜂暴-怒首领蜂II(V102-台湾版)
ddragon.zip|DoubleDragon(Japan)|双截龙(日版)
ddragon2.zip|DoubleDragonII-TheRevenge(World)|双截龙2-复仇(世界版)
ddragon2b.zip|DoubleDragonII-TheRevenge(USbootleg-set1)|双截龙2-复仇(美版A版-第1套)
ddragon2b2.zip|DoubleDragonII-TheRevenge(USbootleg-set2)|双截龙2-复仇(美版A版-第2套)
ddragon2u.zip|DoubleDragonII-TheRevenge(US)|双截龙2-复仇(美版)
ddragon3.zip|DoubleDragon3-TheRosettaStone(US)|双截龙3-罗塞塔之石(美版)
ddragon3b.zip|DoubleDragon3-TheRosettaStone(bootleg)|双截龙3-罗塞塔之石(A版)
ddragon3j.zip|DoubleDragon3-TheRosettaStone(Japan)|双截龙3-罗塞塔之石(日版)
ddragon3p.zip|DoubleDragon3-TheRosettaStone(prototype)|双截龙3-罗塞塔之石(工程版)
ddragonb.zip|DoubleDragon(bootlegwithHD6309)|双截龙(含HD6309A版)
ddragonb2.zip|DoubleDragon(bootleg)|双截龙(A版)
ddragonba.zip|DoubleDragon(bootlegwithM6803)|双截龙(含M6803A版)
ddragonu.zip|DoubleDragon(USset1)|双截龙(美版第1套)
ddragonua.zip|DoubleDragon(USset2)|双截龙(美版第2套)
ddragonub.zip|DoubleDragon(USset3)|双截龙(美版第3套)
ddragonw.zip|DoubleDragon(Worldset1)|双截龙(世界版第1套)
ddragonw1.zip|DoubleDragon(Worldset2)|双截龙(世界版第2套)
ddribble.zip|DoubleDribble|运球高手
ddribblep.zip|DoubleDribble(prototype?)|运球高手(工程版?)
ddsom.zip|Dungeons&Dragons-shadowovermystara(960619Euro)|龙与地下城-暗黑秘影(960619欧版)
ddsoma.zip|Dungeons&Dragons-shadowovermystara(960619Asia)|龙与地下城-暗黑秘影(960619亚洲版)
ddsomar1.zip|Dungeons&Dragons-shadowovermystara(960208Asia)|龙与地下城-暗黑秘影(960208亚洲版)
ddsomb.zip|Dungeons&Dragons-shadowovermystara(960223Brazi|龙与地下城-暗黑秘影(960223巴西版)
ddsomh.zip|Dungeons&Dragons-shadowovermystara(960223Hispa|龙与地下城-暗黑秘影(960223西班牙版)
ddsomj.zip|Dungeons&Dragons-shadowovermystara(960619Japan|龙与地下城-暗黑秘影(960619日版)
ddsomjr1.zip|Dungeons&Dragons-shadowovermystara(960206Japan|龙与地下城-暗黑秘影(960206日版)
ddsomjr2.zip|Dungeons&Dragons-shadowovermystara(960223Japan|龙与地下城-暗黑秘影(960223日版)
ddsomr1.zip|Dungeons&Dragons-shadowovermystara(960223Euro)|龙与地下城-暗黑秘影(960223欧版)
ddsomr2.zip|Dungeons&Dragons-shadowovermystara(960209Euro)|龙与地下城-暗黑秘影(960209欧版)
ddsomr3.zip|Dungeons&Dragons-shadowovermystara(960208Euro)|龙与地下城-暗黑秘影(960208欧版)
ddsomu.zip|Dungeons&Dragons-shadowovermystara(960619USA)|龙与地下城-暗黑秘影(960619美版)
ddsomud.zip|Dungeons&Dragons-shadowovermystara(960619USAP|龙与地下城-暗黑秘影(960619美版凤凰版)
ddsomur1.zip|Dungeons&Dragons-shadowovermystara(960209USA)|龙与地下城-暗黑秘影(960209美版)
ddtod.zip|Dungeons&Dragons-towerofdoom(940412Euro)|龙与地下城-毁灭之塔(940412欧版凤凰版)
ddtoda.zip|Dungeons&Dragons-towerofdoom(940412Asia)|龙与地下城-毁灭之塔(940412亚洲版)
ddtodar1.zip|Dungeons&Dragons-towerofdoom(940113Asia)|龙与地下城-毁灭之塔(940113亚洲版)
ddtodd.zip|Dungeons&Dragons-towerofdoom(940412EuroPhoeni|龙与地下城-毁灭之塔(940412欧版)
ddtodh.zip|Dungeons&Dragons-towerofdoom(940412Hispanic)|龙与地下城-毁灭之塔(940412西班牙版)
ddtodhr1.zip|Dungeons&Dragons-towerofdoom(940125Hispanic)|龙与地下城-毁灭之塔(940125西班牙版)
ddtodhr2.zip|Dungeons&Dragons-towerofdoom(940113Hispanic)|龙与地下城-毁灭之塔(940113西班牙版)
ddtodj.zip|Dungeons&Dragons-towerofdoom(940412Japan)|龙与地下城-毁灭之塔(940412日版)
ddtodjr1.zip|Dungeons&Dragons-towerofdoom(940125Japan)|龙与地下城-毁灭之塔(940125日版)
ddtodjr2.zip|Dungeons&Dragons-towerofdoom(940113Japan)|龙与地下城-毁灭之塔(940113日版)
ddtodr1.zip|Dungeons&Dragons-towerofdoom(940113Euro)|龙与地下城-毁灭之塔(940113欧版)
ddtodu.zip|Dungeons&Dragons-towerofdoom(940125USA)|龙与地下城-毁灭之塔(940125美版)
ddtodur1.zip|Dungeons&Dragons-towerofdoom(940113USA)|龙与地下城-毁灭之塔(940113美版)
ddux.zip|DynamiteDux(set2-FD1094317-0096)|怪鸭冒险记(第2套-FD1094317-0096)
ddux1.zip|DynamiteDux(set1-8751317-0095)|怪鸭冒险记(第1套-8751317-0095)
dduxbl.zip|DynamiteDux(bootleg)|怪鸭冒险记(A版)
dduxd.zip|DynamiteDux(set2-FD1094317-0096decrypted)|怪鸭冒险记(第2套-FD1094317-0096解密版)
dduxj.zip|DynamiteDux(set2-Japan-FD1094317-0094)|怪鸭冒险记(第2套-日版-FD1094317-0094)
dduxjd.zip|DynamiteDux(set2-Japan-FD1094317-0094decrypted)|怪鸭冒险记(第2套-日版-FD1094317-0094解密版)
deadconx.zip|DeadConnection(World)|死亡边缘(世界版)
deluxe4u.zip|Deluxe4U(ver.0107-07/01/2000)|豪华游戏集4U(版本0107-07/01/2000)
deluxe5.zip|Deluxe5(ver.0107-07/01/2000-set1)|豪华游戏集5(版本0107-07/01/2000-第1套)
deluxe5a.zip|Deluxe5(ver.0107-07/01/2000-set2)|豪华游戏集5(版本0107-07/01/2000-第2套)
deluxe5b.zip|Deluxe5(ver.0107-07/01/2000-set3)|豪华游戏集5(版本0107-07/01/2000-第3套)
demonwld.zip|Demon'sWorld/HorrorStory(set1)|恶魔世界/恐怖故事(第1套)
demonwld1.zip|Demon'sWorld/HorrorStory(set2)|恶魔世界/恐怖故事(第2套)
demonwld2.zip|Demon'sWorld/HorrorStory(set3)|恶魔世界/恐怖故事(第3套)
demonwld3.zip|Demon'sWorld/HorrorStory(set4)|恶魔世界/恐怖故事(第4套)
demonwld4.zip|Demon'sWorld/HorrorStory(set5)|恶魔世界/恐怖故事(第5套)
desertdn.zip|DesertDan|沙漠勇士
detatwin.zip|Detana!!TwinBee(Japanver.J)|出击!!兵蜂(日版版本J)
devilfsg.zip|DevilFish(Galaxianhardware-bootleg?)|魔神鱼类(小蜜蜂硬件-A版?)
devilfsh.zip|DevilFish|魔神鱼类
devilw.zip|DevilWorld|恶魔世界
dfeveron.zip|DangunFeveron(Japan-ver.98/09/17)|弹铳飞翼(日版-版本98/09/17)
dharma.zip|DharmaDoujou|不倒翁道场
dharmaj.zip|DharmaDoujou(Japan)|不倒翁道场(日版)
dharmak.zip|DharmaDoujou(Korea)|不倒翁道场(韩版)
diamond.zip|DiamondRun|挖钻石
dietgo.zip|DietGoGo(Eurov1.11992.09.26)|乐乐小子(欧版v1.11992.09.26)
dietgoe.zip|DietGoGo(Eurov1.11992.08.04)|乐乐小子(欧版v1.11992.08.04)
dietgoj.zip|DietGoGo(Japanv1.11992.09.26)|乐乐小子(日版v1.11992.09.26)
dietgou.zip|DietGoGo(USAv1.11992.09.26)|乐乐小子(美版v1.11992.09.26)
digdug.zip|DigDug(rev2)|打空气(修正版2)
digdug2.zip|DigDugII(NewVer.)|打空气II(新版)
digdug2o.zip|DigDugII(OldVer.)|打空气II(旧版)
diggerma.zip|DiggerMan|钻地先生
dimahoo.zip|Dimahoo(000121Euro)|迪玛乎(000121欧版)
dimahoou.zip|Dimahoo(000121USA)|迪玛乎(000121美版)
dimahoud.zip|Dimahoo(000121USAPhoenixEdition)|迪玛乎(000121美版凤凰版)
dingo.zip|Dingo|丁格犬
disco.zip|DiscoNo.1|迪斯科舞者
discof.zip|DiscoNo.1(Rev.F)|迪斯科舞者(修正版F)
diverboy.zip|DiverBoy|潜水宝宝
djboy.zip|DJBoy(set1)|DJ男孩(第1套)
djboya.zip|DJBoy(set2)|DJ男孩(第2套)
djboyj.zip|DJBoy(Japan)|DJ男孩(日版)
dkingjr.zip|DonkeyKingJr.(bootlegofDonkeyKongJr.)|小金刚王(小金刚的A版)
dkong.zip|DonkeyKong(USset1)|大金刚(美版第1套)
dkong3j.zip|DonkeyKong3(Japan)|大金刚3(日版)
dkongf.zip|DonkeyKongFoundry(hack)|大金刚铸造厂(修改版)
dkonghrd.zip|DonkeyKong(USset1)withHardkit|大金刚(美版第1套含硬盒)
dkongj.zip|DonkeyKong(Japanset1)|大金刚(日版第1套)
dkongjnrj.zip|DonkeyKongJunior(Japan?)|小金刚(日版?)
dkongjo.zip|DonkeyKong(Japanset2)|大金刚(日版第2套)
dkongjo1.zip|DonkeyKong(Japanset3)|大金刚(日版第3套)
dkongjr.zip|DonkeyKongJunior(USsetF-2)|小金刚(美版F-2)
dkongjrb.zip|DonkeyKongJr.(bootleg)|小金刚(A版)
dkongjrj.zip|DonkeyKongJr.(Japan)|小金刚(日版)
dkongjrm.zip|DonkeyKongJr.(MoonCrestahardware)|小金刚(月球登陆艇硬件)
dkongo.zip|DonkeyKong(USset2)|大金刚(美版第2套)
dkongpe.zip|DonkeyKong-PaulineEdition(hack-rev5)|大金刚-保琳公主版(修改版-修正版5)
dkongx11.zip|DonkeyKongII-JumpmanReturns(hack-V1.1)|大金刚II-跳跃人归来(修改版-V1.1)
dkrainbow.zip|DonkeyKong-ArcadeRainbow(hack)|大金刚-街机彩虹(修改版)
dland.zip|DreamLand/SuperDreamLand(bootlegofBubbleBobbl|梦幻岛/超级梦幻岛(泡泡龙的A版)
dleague.zip|DynamiteLeague(US)|震撼棒球联盟(美版)
dleaguej.zip|DynamiteLeague(Japan)|震撼棒球联盟(日版)
dmnfrnt.zip|DemonFront(V105)|魔域战线(V105)
dmnfrnta.zip|DemonFront(V102-China)|魔域战线(V102-中国版)
dmnfrntb.zip|DemonFront(V103)|魔域战线(V103)
docastle.zip|Mr.Do'sCastle(set1)|小丑先生的城堡(第1套)
dockman.zip|DockMan|码头工人
dogfgt.zip|AcrobaticDog-Fight|空中特技大混战
dogfgtj.zip|Dog-Fight(Japan)|空中大混战(日版)
dogfgtu.zip|AcrobaticDog-Fight(USA)|空中特技大混战(美版)
dogfight.zip|DogFight(Thunderbolt)|空中格斗(雷电)
dogosokb.zip|DogouSouken(Joystickhackbootleg)|怒号层圈(操纵杆修改版A版)
dogosoke.zip|DogouSouken|怒号层圈
dogyuun.zip|Dogyuun|雷射战机
dogyuuna.zip|Dogyuun(LicensedtoUniteTradingForKorea)|雷射战机(韩国UniteTrading授权)
dogyuunt.zip|Dogyuun(testlocationversion)|雷射战机(地点测试版)
dokaben.zip|Dokaben(Japan)|棒球大饭桶(日版)
dolmen.zip|Dolmen|史前投石人
dommy.zip|Dommy|骰子工厂
dondokod.zip|DonDokoDon(World)|木匠兄弟(世界版)
dondokodj.zip|DonDokoDon(Japan)|木匠兄弟(日版)
dondokodu.zip|DonDokoDon(US)|木匠兄弟(美版)
donight.zip|Mr.Do'sNightmare(hackbyKrazyIvan)|小丑先生的恶梦(KrazyIvan修改版)
donpachi.zip|DonPachi(USA-ver.1.12-95/05/2x)|首领蜂(美版-版本1.12-95/05/2x)
donpachihk.zip|DonPachi(HongKong-ver.1.10-95/05/17)|首领蜂(香港版-版本1.10-95/05/17)
donpachij.zip|DonPachi(Japan-ver.1.01-95/05/11)|首领蜂(日版-版本1.01-95/05/11)
donpachikr.zip|DonPachi(Korea-ver.1.12-95/05/2x)|首领蜂(韩版-版本1.12-95/05/2x)
dorodon.zip|Dorodon(set1)|迷宫精灵(第1套)
dorodon2.zip|Dorodon(set2)|迷宫精灵(第2套)
doubledr.zip|DoubleDragon(Neo-Geo)|双截龙格斗(Neo-Geo)
dowild.zip|Mr.Do'sWildRide|小丑先生野外旅行
downtown.zip|DownTown/Mokugeki(Set1)|城市快打/目击(第1套)
downtown2.zip|DownTown/Mokugeki(Set2)|城市快打/目击(第2套)
downtownj.zip|DownTown/Mokugeki(JoystickHack)|城市快打/目击(操纵杆修改版)
downtownp.zip|DownTown/Mokugeki(prototype)|城市快打/目击(工程版)
dquizgo.zip|DateQuizGoGo(Korea)|约会问答大作战(韩版)
dreambal.zip|DreamBall(JapanV2.4)|梦幻狂欢(日版V2.4)
dreamwld.zip|DreamWorld|梦幻世界
dremshpr.zip|DreamShopper|购物梦语
drgnbowl.zip|DragonBowl|七龙珠
drgnbowla.zip|DragonBowl(set2-unencryptedprogram)|七龙珠(第2套-未加密程序)
drgnbstr.zip|DragonBuster|屠龙记
drgninja.zip|Dragonninja(Japan)|龙行忍者(日版)
drgninjab.zip|Dragonninja(bootlegset1)|龙行忍者(A版第1套)
drgninjab2.zip|Dragonninja(bootlegset2)|龙行忍者(A版第2套)
drgnmst.zip|DragonMaster|龙圣
drgnunit.zip|DragonUnit/CastleofDragon|魔城龙魂
drgw2.zip|DragonWorldII(V110X-World)|中国龙II(V110X-世界版)
drgw2c.zip|ZhongGuoLongII(V100C-China)|中国龙II(V100C-中国版)
drgw2hk.zip|DragonWorldII(V100H-HongKong)|中国龙II(V100H-香港版)
drgw2j.zip|ChuugokuryuuII(V100J-Japan)|中国龙II(V100J-日版)
driftout.zip|DriftOut(Europe)|越野漂移(欧版)
driftoutj.zip|DriftOut(Japan)|越野漂移(日版)
driveout.zip|DriveOut|越野漂移
drivfrcb.zip|DrivingForce(Galaxianconversionbootleg)|方程式赛车(小蜜蜂转换版A版)
drivfrcg.zip|DrivingForce(Galaxianconversion)|方程式赛车(小蜜蜂转换版)
drivfrcp.zip|DrivingForce(Pac-Manconversion)|方程式赛车(吃豆小精灵转换版)
drivfrct.zip|TopRacer(bootlegofDrivingForce)|顶级赛车(方程式赛车的A版)
drmicro.zip|Dr.Micro|微型博士
drtomy.zip|Dr.Tomy|汤米医生
drtoppel.zip|Dr.Toppel'sAdventure(World)|托比博士探险队(世界版)
drtoppela.zip|Dr.Toppel'sAdventure(World-alt?)|托比博士探险队(世界版-替换版?)
drtoppelj.zip|Dr.Toppel'sTankentai(Japan)|托比博士探险队(日版)
drtoppelu.zip|Dr.Toppel'sAdventure(US)|托比博士探险队(美版)
dstlk.zip|Darkstalkers-thenightwarriors(940705Euro)|恶魔战士-午夜斗士(940705欧版)
dstlka.zip|Darkstalkers-thenightwarriors(940705Asia)|恶魔战士-午夜斗士(940705亚洲版)
dstlkh.zip|Darkstalkers-thenightwarriors(940818Hispanic)|恶魔战士-午夜斗士(940818西班牙版)
dstlku.zip|Darkstalkers-thenightwarriors(940818USA)|恶魔战士-午夜斗士(940818美版)
dstlku1d.zip|Darkstalkers-thenightwarriors(940705USAPhoenix|恶魔战士-午夜斗士(940705美版凤凰版)
dumpmtmt.zip|DumpMatsumoto(Japan-8751317-unknown)|女子摔角(日版-8751317-未知)
dunkshot.zip|DunkShot(RevC-FD1089317-0022)|大灌篮(修正版C-FD1089317-0022)
dunkshota.zip|DunkShot(RevA-FD1089317-0022)|大灌篮(修正版A-FD1089317-0022)
dunkshoto.zip|DunkShot(FD1089317-0022)|大灌篮(FD1089317-0022)
dw2v100x.zip|DragonWorldII(V100X-World)|中国龙II(V100X-世界版)
dyger.zip|Dyger(Koreaset1)|戴格尔战机(韩版第1套)
dygera.zip|Dyger(Koreaset2)|戴格尔战机(韩版第2套)
dynablst.zip|Dynablaster/BomberMan|炸弹人(世界版)
dynagear.zip|DynaGear|恐龙时代
dynduke.zip|DynamiteDuke(Europe-03SEP89)|爆破公爵(欧版-03SEP89)
dyndukea.zip|DynamiteDuke(Europe-25JUL89)|爆破公爵(欧版-25JUL89)
dyndukej.zip|DynamiteDuke(Japan-03SEP89)|爆破公爵(日版-03SEP89)
dyndukeja.zip|DynamiteDuke(Japan-25JUL89)|爆破公爵(日版-25JUL89)
dyndukeu.zip|DynamiteDuke(US-25JUL89)|爆破公爵(美版-25JUL89)
dynwar.zip|DynastyWars(USset1)|王朝战争(美版第1套)
dynwara.zip|DynastyWars(USset2)|王朝战争(美版第2套)
dynwarj.zip|TenchiwoKurau(Japan)|吞食天地(日版)
dynwarjr.zip|TenchiwoKurau(JapanResaleVer.)|吞食天地(日版重发售版)
eagle.zip|Eagle(set1)|鹰翼机(第1套)
eagle2.zip|Eagle(set2)|鹰翼机(第2套)
eagle3.zip|Eagle(set3)|鹰翼机(第3套)
eaglshot.zip|EagleShotGolf|老鹰高尔夫
earthjkr.zip|U.N.DefenseForce:EarthJoker(Japan)|联合国防力量-地球战役(日版)
earthjkrp.zip|U.N.DefenseForce:EarthJoker(Japan-prototype?)|联合国防力量-地球战役(日版-工程版?)
ecofghtr.zip|EcoFighters(931203etc)|环保战机(931203世界版)
ecofghtra.zip|EcoFighters(931203Asia)|环保战机(931203亚洲版)
ecofghtrd.zip|EcoFighters(931203WorldPhoenixEdition)|环保战机(931203世界版凤凰版)
ecofghtrh.zip|EcoFighters(931203Hispanic)|环保战机(931203西班牙版)
ecofghtru.zip|EcoFighters(940215USA)|环保战机(940215美版)
ecofghtru1.zip|EcoFighters(931203USA)|环保战机(931203美版)
edf.zip|E.D.F.:EarthDefenseForce(set1)|E.D.F.-地球防卫军(第1套)
edfa.zip|E.D.F.:EarthDefenseForce(set2)|E.D.F.-地球防卫军(第2套)
edfu.zip|E.D.F.:EarthDefenseForce(NorthAmerica)|E.D.F.-地球防卫军(北美版)
eeekk.zip|Eeekk!|鬼怪小屋
egghunt.zip|EggHunt|鸡蛋方块
eggor.zip|Eggor|射蛋
eggs.zip|Eggs|鸡蛋大战
eightfrc.zip|EightForces|8号火力
eightman.zip|EightMan(NGM-025)(NGH-025)|超人8号(NGM-025)(NGH-025)
enforce.zip|Enforce(World)|超强火力(世界版)
enforcej.zip|Enforce(Japan)|超强火力(日版)
esckids.zip|EscapeKids(Asia-4Players)|脱线行大运(亚洲版-4人版)
eswat.zip|E-Swat-CyberPolice(set4-World-FD1094317-0130)|武装特警(第4套-世界版-FD1094317-0130)
eswatbl.zip|E-Swat-CyberPolice(bootleg)|武装特警(A版)
eswatd.zip|E-Swat-CyberPolice(set4-World-FD1094317-0130d|武装特警(第4套-世界版-FD1094317-0130解密版)
eswatj.zip|E-Swat-CyberPolice(set2-Japan-FD1094317-0128)|武装特警(第2套-日版-FD1094317-0128)
eswatj1.zip|E-Swat-CyberPolice(set1-Japan-FD1094317-0131)|武装特警(第1套-日版-FD1094317-0131)
eswatj1d.zip|E-Swat-CyberPolice(set1-Japan-FD1094317-0131d|武装特警(第1套-日版-FD1094317-0131解密版)
eswatjd.zip|E-Swat-CyberPolice(set2-Japan-FD1094317-0128d|武装特警(第2套-日版-FD1094317-0128解密版)
eswatu.zip|E-Swat-CyberPolice(set3-US-FD1094317-0129)|武装特警(第3套-美版-FD1094317-0129)
eswatud.zip|E-Swat-CyberPolice(set3-US-FD1094317-0129decr|武装特警(第3套-美版-FD1094317-0129解密版)
eto.zip|KokontouzaiEtoMonogatari(Japan)|古今东西-干支物语(日版)
evilston.zip|EvilStone|恶魔之石
exctleag.zip|ExciteLeague(FD1094317-0079)|刺激联盟(FD1094317-0079)
exctleagd.zip|ExciteLeague(FD1094317-0079decrypted)|刺激联盟(FD1094317-0079解密版)
exedexes.zip|ExedExes|超浮游要塞
exerizerb.zip|Exerizer(Japan)(bootleg)|天狐(日版)(A版)
exodus.zip|Exodus(bootleg?)|红飞碟(A版?)
explbrkr.zip|ExplosiveBreaker(World)|爆裂战机-炸裂(世界版)
explorer.zip|Explorer|紧急起飞探测器
extdwnhl.zip|ExtremeDownhill(v1.5)|极限滑降(v1.5)
extrmatn.zip|Extermination(World)|异星毁灭者(世界版)
extrmatnj.zip|Extermination(Japan)|异星毁灭者(日版)
extrmatnu.zip|Extermination(US-set1)|异星毁灭者(美版-第1套)
extrmatnur.zip|Extermination(US-Romstar)|异星毁灭者(美版-Romstar)
exzisus.zip|Exzisus(Japan-dedicated)|行星任务(日版-专用版)
exzisusa.zip|Exzisus(Japan-conversion)|行星任务(日版-转换版)
exzisust.zip|Exzisus(TADlicense)|行星任务(TAD授权)
eyes.zip|Eyes(DigitrexTechstar)|大眼精灵(DigitrexTechstar)
eyes2.zip|Eyes(Techstar)|大眼精灵(Techstar)
eyesb.zip|Eyes(bootlegset1)|大眼精灵(A版第1套)
eyeszacb.zip|Eyes(bootlegset2-decrypted)|大眼精灵(A版第2套-解密版)
f1dream.zip|F-1Dream|一级方程式梦语
f1dreamb.zip|F-1Dream(bootleg-set1)|一级方程式梦语(A版-第1套)
